nome,categoria,origem
Gelatina de pêssego em pó (Oetker),Alimentos industrializados,TBCA 7.2
Gelatina de tutti-frutti em pó (Oetker),Alimentos industrializados,TBCA 7.2
Gelatina de uva em pó (Ducoco),Alimentos industrializados,TBCA 7.2
Gelatina de uva em pó (Oetker),Alimentos industrializados,TBCA 7.2
Gelatina em pó,Alimentos industrializados,TBCA 7.2
Gelatina sem sabor em pó,Alimentos industrializados,TBCA 7.2
Maria mole chocolate em pó,Alimentos industrializados,TBCA 7.2
Maria mole de chocolate em pó (Oetker),Alimentos industrializados,TBCA 7.2
Maria mole de coco em pó (Oetker),Alimentos industrializados,TBCA 7.2
Maria mole de morango em pó(Oetker),Alimentos industrializados,TBCA 7.2
Maria mole demorango em pó,Alimentos industrializados,TBCA 7.2
Mingau tradicional em pó,Alimentos industrializados,TBCA 7.2
Missôshiru de frango em pó,Alimentos industrializados,TBCA 7.2
Missôshiru de legumes em pó,Alimentos industrializados,TBCA 7.2
Missoshiru em pó,Alimentos industrializados,TBCA 7.2
Missôshiru tradicional em pó,Alimentos industrializados,TBCA 7.2
Mistura para bolo,Alimentos industrializados,TBCA 7.2
Mistura para bolo,Alimentos industrializados,TBCA 7.2
Mistura para bolo de baunilha (Oetker),Alimentos industrializados,TBCA 7.2
Mistura para bolo de chocolate (Oetker),Alimentos industrializados,TBCA 7.2
Mistura para bolo de coco,Alimentos industrializados,TBCA 7.2
Mistura para bolo de laranja,Alimentos industrializados,TBCA 7.2
Mistura para bolo mármore,Alimentos industrializados,TBCA 7.2
Mistura para curau de milho,Alimentos industrializados,TBCA 7.2
Mistura para mousse de chocolate (Oetker),Alimentos industrializados,TBCA 7.2
Mistura para pão de queijo,Alimentos industrializados,TBCA 7.2
Mistura para pão de queijo,Alimentos industrializados,TBCA 7.2
Mistura para pão de queijo Hikari,Alimentos industrializados,TBCA 7.2
Mistura para pudim,Alimentos industrializados,TBCA 7.2
Mistura para pudim caramelo (Oetker),Alimentos industrializados,TBCA 7.2
Mistura para pudim de baunilha,Alimentos industrializados,TBCA 7.2
Mistura para pudim de baunilha (Oetker),Alimentos industrializados,TBCA 7.2
Mistura para pudim de baunilha (Oetker),Alimentos industrializados,TBCA 7.2
Mistura para pudim de coco,Alimentos industrializados,TBCA 7.2
Mistura para pudim de coco (Oetker),Alimentos industrializados,TBCA 7.2
Mistura para pudim de morango,Alimentos industrializados,TBCA 7.2
Mistura para sagu,Alimentos industrializados,TBCA 7.2
Mistura para sagu de morango (Oetker),Alimentos industrializados,TBCA 7.2
Mistura para sagu de uva (Dr. Oetker),Alimentos industrializados,TBCA 7.2
Pudim de leite com calda de caramelo em pó (Oetker),Alimentos industrializados,TBCA 7.2
Adoçante aspartame em pó,Alimentos para fins especiais,TBCA
Adoçante sacarina em pó,Alimentos para fins especiais,TBCA
Adoçante sucralose em pó,Alimentos para fins especiais,TBCA
Arroz doce light,Alimentos para fins especiais,TBCA
Arroz doce light,Alimentos para fins especiais,TBCA
Atum sólido em conserva light,Alimentos para fins especiais,TBCA
Bala diet,Alimentos para fins especiais,TBCA
Barra de cereal diet,Alimentos para fins especiais,TBCA
Bebida láctea de morango light,Alimentos para fins especiais,TBCA
Biscoito doce diet,Alimentos para fins especiais,TBCA
Biscoito doce light,Alimentos para fins especiais,TBCA
Biscoito recheado diet,Alimentos para fins especiais,TBCA
Biscoito recheado light,Alimentos para fins especiais,TBCA
Biscoito salgado  light,Alimentos para fins especiais,TBCA
Biscoito wafer diet/light,Alimentos para fins especiais,TBCA
Bolo de cenoura diet caseiro simples,Alimentos para fins especiais,TBCA
Bolo de chocolate diet caseiro simples,Alimentos para fins especiais,TBCA
Bolo de laranja diet caseiro simples,Alimentos para fins especiais,TBCA
Chá de limão light (lata/garrafa),Alimentos para fins especiais,TBCA
Chá de pêssego light (lata/garrafa),Alimentos para fins especiais,TBCA
Chocolate ao leite dietético,Alimentos para fins especiais,TBCA
Chocolate em pó,Alimentos para fins especiais,TBCA
Cream cheese light,Alimentos para fins especiais,TBCA
Doce de amendoim diet,Alimentos para fins especiais,TBCA
Doce de leite diet,Alimentos para fins especiais,TBCA
Gelatina de abacaxi em pó diet (Ducoco),Alimentos para fins especiais,TBCA
Gelatina de abacaxi em pó diet (Oetker),Alimentos para fins especiais,TBCA
Gelatina de abacaxi em pó preparada diet,Alimentos para fins especiais,TBCA
Gelatina de cereja em pó diet (Ducoco),Alimentos para fins especiais,TBCA
Gelatina de cereja em pó diet (Oetker),Alimentos para fins especiais,TBCA
Gelatina de cereja em pó preparada diet,Alimentos para fins especiais,TBCA
Gelatina de framboesa em pó diet (Ducoco),Alimentos para fins especiais,TBCA
Gelatina de framboesa em pó diet (Oetker),Alimentos para fins especiais,TBCA
Gelatina de framboesa em pó preparada diet,Alimentos para fins especiais,TBCA
Gelatina de limão em pó diet (Ducoco),Alimentos para fins especiais,TBCA
Gelatina de limão em pó diet (Oetker),Alimentos para fins especiais,TBCA
Gelatina de limão em pó preparada diet,Alimentos para fins especiais,TBCA
Gelatina de morango em pó diet (Ducoco),Alimentos para fins especiais,TBCA
Gelatina de morango em pó diet (Oetker),Alimentos para fins especiais,TBCA
Gelatina de morango em pó preparada diet,Alimentos para fins especiais,TBCA
Gelatina de uva em pó diet,Alimentos para fins especiais,TBCA
Gelatina em pó diet,Alimentos para fins especiais,TBCA
Gelatina em pó preparada diet,Alimentos para fins especiais,TBCA
Geleia sem açúcar,Alimentos para fins especiais,TBCA
Goiabada diet,Alimentos para fins especiais,TBCA
Goma de mascar diet,Alimentos para fins especiais,TBCA
Iogurte de frutas diet,Alimentos para fins especiais,TBCA
Leite de vaca integral sem lactose,Alimentos para fins especiais,TBCA
Massa brise light,Alimentos para fins especiais,TBCA
Milho para pipoca de microondas cru light,Alimentos para fins especiais,TBCA
Milho para pipoca de microondas light,Alimentos para fins especiais,TBCA
Milho para pipoca de microondas light preparado,Alimentos para fins especiais,TBCA
Mistura para pudim de baunilha diet,Alimentos para fins especiais,TBCA
Mistura para pudim de caramelo diet (Ducoco),Alimentos para fins especiais,TBCA
Mistura para pudim de caramelo diet (Oetker),Alimentos para fins especiais,TBCA
Mistura para pudim de chocolate diet (Ducoco),Alimentos para fins especiais,TBCA
Mistura para pudim de chocolate diet (Oetker),Alimentos para fins especiais,TBCA
Mistura para pudim de coco diet (Ducoco),Alimentos para fins especiais,TBCA
Mistura para pudim de coco diet (Oetker),Alimentos para fins especiais,TBCA
Mistura para pudim diet,Alimentos para fins especiais,TBCA
Molho de soja premium light,Alimentos para fins especiais,TBCA
Molho italiano light,Alimentos para fins especiais,TBCA
Molho parmesão light,Alimentos para fins especiais,TBCA
Mortadela light,Alimentos para fins especiais,TBCA
Pão de forma com aveia e fibras diet,Alimentos para fins especiais,TBCA
Pão de forma com fibras,Alimentos para fins especiais,TBCA
Pão de forma diet/light,Alimentos para fins especiais,TBCA
Pão de mel com cobertura de chocolate diet,Alimentos para fins especiais,TBCA
Pizza portuguesa light,Alimentos para fins especiais,TBCA
Queijo minas frescal light,Alimentos para fins especiais,TBCA
Queijo minas frescal light (Danúbio),Alimentos para fins especiais,TBCA
Queijo minas padrão 0 gordura,Alimentos para fins especiais,TBCA
Queijo minas padrão light (Teixeira),Alimentos para fins especiais,TBCA
Queijo muçarela/mussarela light,Alimentos para fins especiais,TBCA
Queijo pasteurizado com teor reduzido de gorduras,Alimentos para fins especiais,TBCA
